year,members_total,members_change,pct_growth_members,yoy_pct_change_members,new_cor,cor_baptisms,yoy_pct_change_cor,converts,yoy_pct_change_converts,,,,missionaries,pct_growth_missionaries,pct_church_missionaries,converts_per_missionary,yoy_pct_change_conve_per_mish,net_members_per_missionary,gross_members_per_missionary,service_missionaries,senior_service_missionaries,young_service_missionaries,pct_change_service_missionaries,total_missionaries,pct_change_total_missionary,stakes,pct_change_stakes,districts,pct_change_districts,members_per_stake,pct_change_members_per_stake,wards,pct_change_wards,wards_per_stake,members_per_ward,temples_dedicated,temples_operating,temples_announced
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,193,32
2023,"17,255,394","252,933",1.49%,28.35%,"93,594",,,"251,763",18.66%,"251,763","-1,170",-107.74%,"67,871",8.52%,0.39%,3.71,9.35%,3.73,3.71,"31,685","27,801","3,884",6.30%,"99,556",7.80%,"3,565",1.25%,489,-5.42%,"4,256",1.09%,"31,490",0.51%,8.83,548,11,177,35
2022,"17,002,461","197,061",1.17%,39.03%,"89,059",,,"212,172",26.08%,"212,172","15,111",-43.08%,"62,544",14.68%,0.37%,3.39,9.94%,3.15,3.39,"29,806","27,070","2,736",-18.65%,"92,350",1.29%,"3,521",0.66%,517,-0.58%,"4,211",0.67%,"31,330",0.05%,8.90,543,5,166,35
2021,"16,805,400","141,737",0.85%,43.71%,"89,069",,,"168,283",33.63%,"168,283","26,546",-2.77%,"54,539",5.25%,0.32%,3.09,26.97%,2.60,3.09,"36,639","36,639",,20.02%,"91,178",10.73%,"3,498",1.01%,520,-3.17%,"4,183",0.40%,"31,315",0.57%,8.95,537,2,161,34
2020,"16,663,663","98,627",0.60%,-60.75%,"65,440",,,"125,930",-49.39%,"125,930","27,303",-1207.18%,"51,819",-22.68%,0.31%,2.43,-34.55%,1.90,2.43,"30,527","30,527",,-2.57%,"82,346",-16.28%,"3,463",0.76%,537,-0.92%,"4,166",0.07%,"31,136",0.63%,8.99,535,1,159,14
2019,"16,565,036","251,301",1.54%,28.50%,"94,266",,,"248,835",6.19%,"248,835","-2,466",-106.36%,"67,021",2.89%,0.40%,3.71,3.20%,3.75,3.71,"31,333","31,333",,-17.46%,"98,354",-4.60%,"3,437",1.60%,542,-0.91%,"4,163",0.29%,"30,940",1.32%,9.00,535,6,158,16
2018,"16,313,735","195,566",1.21%,-17.05%,"102,102",,,"234,332",0.26%,"234,332","38,766",-2016.26%,"65,137",-2.85%,0.40%,3.60,3.20%,3.00,3.60,"37,963","37,963",,4.95%,"103,100",-0.12%,"3,383",1.26%,547,-1.08%,"4,151",0.29%,"30,536",0.10%,9.03,534,2,152,19
2017,"16,118,169","235,752",1.48%,-5.02%,"106,771",,,"233,729",-2.67%,"233,729","-2,023",-74.98%,"67,049",-5.49%,0.42%,3.49,2.99%,3.52,3.49,"36,172","36,172",,7.35%,"103,221",-1.36%,"3,341",2.30%,553,-0.54%,"4,139",-0.39%,"30,506",0.67%,9.13,528,4,150,5
2016,"15,882,417","248,218",1.59%,-5.21%,"109,246",,,"240,131",-6.71%,"240,131","-8,087",81.32%,"70,946",-4.23%,0.45%,3.38,-2.59%,3.50,3.38,"33,695","33,695",,6.03%,"104,641",-1.15%,"3,266",2.90%,556,-0.36%,"4,156",-0.80%,"30,304",0.96%,9.28,524,6,146,6
2015,"15,634,199","261,862",1.70%,-9.80%,"114,550",,,"257,402",-13.28%,"257,402","-4,460",-168.68%,"74,079",-13.00%,0.47%,3.47,-0.32%,3.53,3.47,"31,779","31,779",,4.52%,"105,858",-8.39%,"3,174",1.93%,558,-0.53%,"4,189",0.15%,"30,016",1.33%,9.46,521,5,140,9
2014,"15,372,337","290,309",1.92%,-3.09%,"116,409",,,"296,803",4.90%,"296,803","6,494",-139.10%,"85,147",2.54%,0.55%,3.49,2.30%,3.41,3.49,"30,404","30,404",,26.51%,"115,551",7.92%,"3,114",2.10%,561,-1.75%,"4,183",0.43%,"29,621",1.26%,9.51,519,3,135,7
2013,"15,082,028","299,555",2.03%,-12.19%,"115,486",,,"282,945",3.90%,"282,945","-16,610",-75.86%,"83,035",40.76%,0.55%,3.41,-26.19%,3.61,3.41,"24,032","24,032",,4.66%,"107,067",30.65%,"3,050",1.50%,571,-3.38%,"4,165",1.32%,"29,253",0.82%,9.59,516,1,132,7
2012,"14,782,473","341,127",2.36%,10.08%,"122,273",,,"272,330",-3.19%,"272,330","-68,797",140.83%,"58,990",6.46%,0.40%,4.62,-9.07%,5.78,4.62,"22,961","22,961",,2.97%,"81,951",5.46%,"3,005",2.00%,591,-2.80%,"4,111",1.17%,"29,014",0.80%,9.66,509,4,131,7
